title,genre,producer,country,year,rating_url
"Человек-зверь (фильм, 1917)",Драма (жанр),"Сабинский, Чеслав Генрихович",,1917,https://www.imdb.com/title/tt0795919/
Умирающий лебедь (фильм),,,Российская империя,1917,https://www.imdb.com/title/tt0186650/
У камина (фильм),Немой кинематограф,"Чардынин, Пётр Иванович",,,https://www.imdb.com/title/tt0795987/
,Фэнтези,,,,https://www.imdb.com/title/tt0007619/
The Welcome Burglar,Драматический фильм,Дэвид Уорк Гриффит,Соединённые Штаты Америки,1909,https://www.imdb.com/title/tt0001090/
The Hindoo Dagger,Драматический фильм,Дэвид Уорк Гриффит,Соединённые Штаты Америки,1909,https://www.imdb.com/title/tt0000896/
Mr. Jones Has a Card Party,Комедия,Дэвид Уорк Гриффит,Соединённые Штаты Америки,1909,https://www.imdb.com/title/tt0000974/
One Touch of Nature,Драматический фильм,Дэвид Уорк Гриффит,Соединённые Штаты Америки,1909,https://www.imdb.com/title/tt0000995/
"Эсмеральда (фильм, 1905)",Драма (жанр),"Ги-Блаше, Алис",Франция,1905,https://www.imdb.com/title/tt0000511/
Ужасный ребёнок,Кинокомедия,"Коллинз, Альф (страница отсутствует)",,1905,https://www.imdb.com/title/tt1282487/
"Чёрный дьявол (фильм, 1905)",Кинокомедия,"Мельес, Жорж",Франция,1905,https://www.imdb.com/title/tt0215575/
Dancing Darkies,Документальный фильм,"Диксон, Уильям (изобретатель)",Соединённые Штаты Америки,1896,https://www.imdb.com/title/tt0000060/
Ужасная ночь,Ужасы,Жорж Мельес,Франция,1896,https://www.imdb.com/title/tt0000131/
The Ball Game,Документальный фильм,,Соединённые Штаты Америки,1898,https://www.imdb.com/title/tt0000038/
"Тысяча и одна ночь (фильм, 1905)",Сказка,Жорж Мельес,Франция,1905,https://www.imdb.com/title/tt0132402/
Рип просыпается,Драма (жанр),"Диксон, Уильям (изобретатель)",США,1896,https://www.imdb.com/title/tt0000036/
Поцелуй в тоннеле,Романтическая комедия,"Смит, Джордж Альберт",Великобритания,1899,https://www.imdb.com/title/tt0000248/
Молниеносные превращения,,Жорж Мельес,,1899,https://www.imdb.com/title/tt0225949/
Матч Джеффрис — Шарки,Кинохроника,,Соединённые Штаты Америки,1899,https://www.imdb.com/title/tt0230366/
"Король Джон (фильм, 1899)",Короткометражный фильм,Уолтер Феффер Дандо (страница отсутствует),Кинематограф Великобритании,,https://www.imdb.com/title/tt0000247/
Движение транспорта по мосту Лидс,Документальное кино,"Лепренс, Луи",Англия,1888,https://www.imdb.com/title/tt0343112/
Лошадь и всадник прыгают через препятствие,,,Германская империя,1888,https://www.imdb.com/title/tt3274100/
Сцена в саду Раундхэй,Документальное кино,"Лепренс, Луи",Англия,,https://www.imdb.com/title/tt0392728/
Аккордеонист (фильм),Документальное кино,"Лепренс, Луи",Великобритания,1888,https://www.imdb.com/title/tt1758563/
Приветствие Диксона,Документальное кино,"Диксон, Уильям (изобретатель)",США,1891,https://www.imdb.com/title/tt0241373/
Ньюаркский атлет,Документальное кино,"Диксон, Уильям (изобретатель)",Соединённые Штаты Америки,1891,https://www.imdb.com/title/tt0241763/
Боксирующие мужчины,Немой кинематограф,"Диксон, Уильям (изобретатель)",Соединённые Штаты Америки,1891,https://www.imdb.com/title/tt0241715/
Шалости,Комедия,"Диксон, Уильям (изобретатель)",Соединённые Штаты Америки,1890,https://www.imdb.com/title/tt0361921/
Аватар 4,Эпический фильм,"Кэмерон, Джеймс",Соединённые Штаты Америки,,https://www.imdb.com/title/tt3095356/
Трафальгарская площадь в Лондоне,Документальное кино,"Донисторп, Вордсворт",Флаг Великобритании,1890,https://www.imdb.com/title/tt1202028/
Дюна: Часть третья,Эпический фильм,"Вильнёв, Дени",Соединённые Штаты Америки,2026,
"Неторопливые пешеходы, омнибусы с открытым верхом и кэбы со скачущими лошадьми",Документальное кино,Уильям Фриз-Грин,Великобритания,1889,https://www.imdb.com/title/tt0466876/
Аватар 5,Эпический фильм,"Кэмерон, Джеймс",Соединённые Штаты Америки,,https://www.imdb.com/title/tt5637536/
Из нового Бруклина в Нью-Йорк по Бруклинскому мосту,Документальное кино,,Соединённые Штаты Америки,1899,https://www.imdb.com/title/tt0256957/
"Клеопатра (фильм, 1899)",Фильм ужасов,Жорж Мельес,Франция,1899,https://www.imdb.com/title/tt0000234/
Злодеяние телячьей головы,Кинокомедия,"Зекка, Фернан",Франция,1899,https://www.imdb.com/title/tt0351391/
"Золушка (фильм, 1899)",Фантасмагория (кино),"Мельес, Жорж",Франция,1899,https://www.imdb.com/title/tt0000230/
Фотография призрака,Фильм ужасов,"Смит, Джордж Альберт",Англия,1898,https://www.imdb.com/title/tt0000209/
Фауст и Мефистофель,Фэнтези,Джордж Альберт Смит,Великобритания,1898,https://www.imdb.com/title/tt0000196/
Сон астронома,Кинофантастика,Жорж Мельес,Франция,1898,https://www.imdb.com/title/tt0000211/
Стрижка клоуна,Немой кинематограф,"Уильямсон, Джеймс (кинорежиссёр)",Великобритания,1898,https://www.imdb.com/title/tt0000019/
"Санта-Клаус (фильм, 1898)",Фэнтези,Джордж Альберт Смит,Великобритания,1898,https://www.imdb.com/title/tt0242849/
"Пошли скорее, давай!",Кинокомедия,"Поль, Уильям",Великобритания,1898,https://www.imdb.com/title/tt0000182/
"Приключения Вильгельма Телля (фильм, 1898)",Кинокомедия,"Мельес, Жорж",Кинематограф Франции,,https://www.imdb.com/title/tt0222768/
"Полицейский, повар и медь",,Джордж Альберт Смит,Великобритания,1898,https://www.imdb.com/title/tt0273324/
Пожар на Биби-Эйбате,Документальное кино,"Мишон, Александр Михайлович",Российская империя,1898,https://www.imdb.com/title/tt1440131/
Повешение (фильм),,,,1898,https://www.imdb.com/title/tt0235375/
"Одна голова хорошо, а четыре лучше",Кинофантастика,Жорж Мельес,Франция,1898,https://www.imdb.com/title/tt0135696/
Пигмалион и Галатея (фильм),Короткометражный фильм,"Мельес, Жорж",Франция,1898,https://www.imdb.com/title/tt0223975/
Кавалерский сон,Фильм ужасов,Эдвин Стэнтон Портер,Соединённые Штаты Америки,1898,https://www.imdb.com/title/tt0000178/
"Волшебник (фильм, 1898)",Фэнтези,Жорж Мельес,Франция,1898,https://www.imdb.com/title/tt0214902/
Нефтяной фонтан на промысле Балаханы,Документальное кино,"Мишон, Александр Михайлович",Российская империя,1898,https://www.imdb.com/title/tt1440125/
"Корсиканские братья (фильм, 1898)",Драма (жанр),"Смит, Джордж Альберт",Великобритания,1898,https://www.imdb.com/title/tt0000183/
"Золушка (фильм, 1898)",Фэнтези,Джордж Альберт Смит,Великобритания,1898,https://www.imdb.com/title/tt0000181/
Гибель Фауста,Фэнтези,Жорж Мельес,Франция,1898,https://www.imdb.com/title/tt0223084/
Весёлый скелет,Анимация,"Люмьер, Луи Жан",Франция,1898,https://www.imdb.com/title/tt1740545/
"Дело Дрейфуса (фильм, 1899)",Драма (жанр),"Мельес, Жорж",Франция,1899,https://www.imdb.com/title/tt0000218/
Танец Лои Фуллер,Документальный фильм,"Диксон, Уильям (изобретатель)",Соединённые Штаты Америки,1895,https://www.imdb.com/title/tt0154152/
Прибытие делегатов на фотоконгресс в Лионе,Документальный фильм,"Люмьер, Луи Жан",Флаг Франции,1895,https://www.imdb.com/title/tt0000013/
Серпантин (фильм),,"Складановский, Макс",Германия,1895,https://www.imdb.com/title/tt0000032/
Регата между Оксфордским и Кембриджским университетами,Документальное кино,"Акрес, Бирт",Великобритания,1895,https://www.imdb.com/title/tt0000025/
Прыжок через одеяло,Документальный фильм,"Люмьер, Луи Жан",Кинематограф Франции,,https://www.imdb.com/title/tt0000031/
Политый поливальщик,Кинокомедия,"Люмьер, Луи Жан",Франция,1895,https://www.imdb.com/title/tt0000014/
Открытие Кильского канала,Документальное кино,"Акрес, Бирт",Великобритания,1895,https://www.imdb.com/title/tt0000024/
Механический мясник,Кинокомедия,"Люмьер, Луи Жан",Франция,1895,https://www.imdb.com/title/tt0212052/
Площадь Корделье в Лионе,Документальный фильм,"Люмьер, Луи Жан",Кинематограф Франции,1895,https://www.imdb.com/title/tt0000027/
"Морское купание (фильм, 1895)",Документальное кино,"Люмьер, Луи Жан",Франция,1895,https://www.imdb.com/title/tt0000023/
Ловля золотых рыбок,Документальный фильм,"Люмьер, Луи Жан",Франция,1895,https://www.imdb.com/title/tt0000028/
Кузнецы (фильм),Документальный фильм,"Люмьер, Луи Жан",Франция,1895,https://www.imdb.com/title/tt0000022/
Казнь Марии Шотландской,Исторический фильм,"Кларк, Альфред (страница отсутствует)",Соединённые Штаты Америки,1895,https://www.imdb.com/title/tt0132134/
Итальянский крестьянский танец,Документальный фильм,Макс Складановский,Германия,1895,https://www.imdb.com/title/tt0000017/
"Игра в карты (фильм, 1895)",Документальный фильм,Луи Люмьер,Франция,,https://www.imdb.com/title/tt0000026/
Дерби (фильм),Документальное кино,"Акрес, Бирт",Великобритания,1895,https://www.imdb.com/title/tt0000020/
Завтрак младенца,Документальный фильм,"Люмьер, Луи Жан",Франция,1895,https://www.imdb.com/title/tt0000029/
"Зимний сад (фильм, 1895)",Короткометражное кино,"Складановский, Макс",Германия,1895,https://www.imdb.com/title/tt1754898/
Выход рабочих с фабрики,Документальное кино,"Люмьер, Луи Жан",Франция,1895,https://www.imdb.com/title/tt0000010/
Бокс с кенгуру,Документальный фильм,Макс Складановский,Германия,1895,https://www.imdb.com/title/tt0000018/
"Бушующее море, вызвавшее наводнение в Дувре",Документальный фильм,"Акрес, Бирт",Великобритания,1895,https://www.imdb.com/title/tt0000030/
Бокс (фильм),Документальное кино,Макс Складановский,Германия,1895,https://www.imdb.com/title/tt0405123/
Вольтижировка (фильм),Документальное кино,"Люмьер, Луи Жан",Франция,1895,https://www.imdb.com/title/tt0000033/
Арест карманника,Детективный фильм,"Акрес, Бирт",Великобритания,1895,https://www.imdb.com/title/tt0187702/
Апофеоз (фильм),Короткометражный фильм,"Складановский, Макс",Германская империя,1895,https://www.imdb.com/title/tt0122381/
Акробатическая смесь,Хроника,"Складановский, Макс",Германская империя,1895,https://www.imdb.com/title/tt0000011/
Кружка пива,Мультфильм,"Рейно, Эмиль",Франция,1892,https://www.imdb.com/title/tt0000004/
Клоун и его собачки,Мультфильм,,,,https://www.imdb.com/title/tt0000002/
Бедный Пьеро,Мультфильм,"Рейно, Эмиль",Франция,1892,https://www.imdb.com/title/tt0000003/
Сцена с кузнецами,d:Q472637,"Диксон, Уильям (изобретатель)",Соединённые Штаты Америки,1893,https://www.imdb.com/title/tt0000005/
Прибытие поезда на станцию в Венсене,Документальное кино,Жорж Мельес,Франция,1896,https://www.imdb.com/title/tt0000034/
Прибытие поезда на вокзал Ла-Сьота,Документальное кино,"Люмьер, Огюст Луи Мари Николя",Франция,,https://www.imdb.com/title/tt0000012/
Президент Маккинли дома,Документальный фильм,Уильям К.Л. Диксон (страница отсутствует),,,https://www.imdb.com/title/tt0203681/
"Поцелуй (фильм, 1896)",Мелодрама,Уильям Хейс (страница отсутствует),Соединённые Штаты Америки,1896,https://www.imdb.com/title/tt0139738/
"Морское купание (фильм, 1896)",Документальное кино,"Мельес, Жорж",Франция,1896,https://www.imdb.com/title/tt0000037/
Поливальщик (фильм),Кинокомедия,"Мельес, Жорж",Франция,1896,https://www.imdb.com/title/tt0000035/
"Партия в карты (фильм, 1896)",Документальное кино,Жорж Мельес,Франция,1896,https://www.imdb.com/title/tt0000132/
Новобрачная отходит ко сну,Эротический фильм,,Франция,1896,https://www.imdb.com/title/tt1728115/
Лошадиная ярмарка в Барнете,Документальное кино,Роберт Уильям Поль,Великобритания,1896,https://www.imdb.com/title/tt0000039/
Мастерские в Ла-Сьота,Документальное кино,"Люмьер, Луи Жан",Франция,1896,https://www.imdb.com/title/tt0221807/
Лодки покидают порт в Трувилле,Документальное кино,Жорж Мельес,Франция,1896,https://www.imdb.com/title/tt0000040/
"Кошмар (фильм, 1896)",Фильм ужасов,"Мельес, Жорж",Франция,1896,https://www.imdb.com/title/tt0222946/
"Защита (фильм, 1896)",Кинокомедия,Жорж Мельес,Франция,1896,https://www.imdb.com/title/tt0000069/
Исчезновение дамы в театре Робер-Удена,Немой кинематограф,"Мельес, Жорж",Франция,1896,https://www.imdb.com/title/tt0000075/
Игра в снежки (фильм),Документальное кино,"Люмьер, Луи Жан",Франция,1896,https://www.imdb.com/title/tt0000041/
Замок дьявола (фильм),Кинофантастика,"Мельес, Жорж",,,https://www.imdb.com/title/tt0000091/
Драгуны переплывают Сону,Документальный фильм,"Люмьер, Луи Жан",Франция,1896,https://www.imdb.com/title/tt0256732/
Гранд-канал в Венеции,Документальное кино,"Промио, Александр",Кинематограф Франции,1896,https://www.imdb.com/title/tt0213974/
"Грабители (фильм, 1896)",Криминальный фильм,"Поль, Уильям",Великобритания,1896,https://www.imdb.com/title/tt0192982/
Возвращение мужа,Кинокомедия,"Поль, Уильям",Великобритания,1896,https://www.imdb.com/title/tt0202024/
Бродяга и собака,Немой кинематограф,,,,https://www.imdb.com/title/tt2262307/
Бивак (фильм),Документальное кино,Жорж Мельес,Франция,1896,https://www.imdb.com/title/tt0000044/
The Boxing Cats (Prof. Welton’s),Документальное кино,"Диксон, Уильям (изобретатель)",Соединённые Штаты Америки,1894,https://www.imdb.com/title/tt0219560/
Фред Отт. Чихание,,"Диксон, Уильям (изобретатель)",Соединённые Штаты Америки,1894,https://www.imdb.com/title/tt0000008/
"Энни Оукли (фильм, 1894)",Вестерн,"Диксон, Уильям (изобретатель)",,,https://www.imdb.com/title/tt0229220/
Танец Буффало,Документальный фильм,"Диксон, Уильям (изобретатель)",США,1894,https://www.imdb.com/title/tt0309402/
Танец бабочки,Документальное кино,"Диксон, Уильям (изобретатель)",Соединённые Штаты Америки,1894,https://www.imdb.com/title/tt0229217/
Падающая кошка,Документальное кино,"Маре, Этьен-Жюль",Франция,1894,https://www.imdb.com/title/tt2049440/
Пляска духа племени сиу,Танцевальный фильм,,,,https://www.imdb.com/title/tt0326158/
Мисс Джери,Драма (жанр),,Соединённые Штаты Америки,1894,https://www.imdb.com/title/tt0000009/
Мужская парикмахерская,Документальный фильм,"Диксон, Уильям (изобретатель)",Соединённые Штаты Америки,1894,https://www.imdb.com/title/tt0229235/
Необъезженный жеребец,Документальное кино,"Диксон, Уильям (изобретатель)",Соединённые Штаты Америки,1894,https://www.imdb.com/title/tt0309396/
"Луи Мартинетти, «человек-змея»",Спортивный фильм,"Диксон, Уильям (изобретатель)",Соединённые Штаты Америки,1894,https://www.imdb.com/title/tt0277115/
Корбетт и Кортни перед Кинетографом,,,Соединённые Штаты Америки,1894,https://www.imdb.com/title/tt0000007/
Китайский опиумный притон,Немое кино,,Соединённые Штаты Америки,1894,https://www.imdb.com/title/tt0000006/
Карменсита (фильм),Документальное кино,"Диксон, Уильям (изобретатель)",США,1894,https://www.imdb.com/title/tt0000001/
Бой Леонарда против Кушинга,Немой кинематограф,"Диксон, Уильям (изобретатель)",Соединённые Штаты Америки,1894,https://www.imdb.com/title/tt0203646/
Вокруг кабинки,Мультфильм,Эмиль Рейно,Франция,1894,https://www.imdb.com/title/tt0000015/
Близорукий школьный учитель,Немой кинематограф,,,,https://www.imdb.com/title/tt0236529/
Peeping Tom,Драматический фильм,,Соединённые Штаты Америки,1897,https://www.imdb.com/title/tt0216970/
"Фауст и Маргарита (фильм, 1897)",,Жорж Мельес,Франция,1897,https://www.imdb.com/title/tt0000151/
Смерть Марата (фильм),Исторический фильм,Жорж Гато,Франция,1897,https://www.imdb.com/title/tt0451429/
Рентгеновские лучи (фильм),,"Смит, Джордж Альберт",Великобритания,1897,https://www.imdb.com/title/tt0000172/
Регата Хенли (фильм),Документальное кино,"Акрес, Бирт",Великобритания,1897,https://www.imdb.com/title/tt0000154/
Отправление на поезде из Иерусалима,Документальное кино,Луи Люмьер,Франция,1897,https://www.imdb.com/title/tt0000089/
"Ограбление (фильм, 1897)",Кинокомедия,"Поль, Уильям",Великобритания,1897,https://www.imdb.com/title/tt0230703/
"Последний патрон (фильм, 1897)",Военный фильм,Жорж Мельес,Франция,1897,https://www.imdb.com/title/tt0223130/
Новая драка подушками,,"Любин, Зигмунд",,1897,https://www.imdb.com/title/tt0212904/
Кабинет Мефистофеля,Фильм ужасов,"Мельес, Жорж",Франция,1897,https://www.imdb.com/title/tt0000159/
Между Дувром и Кале,Короткометражный фильм,"Мельес, Жорж",Кинематограф Франции,,https://www.imdb.com/title/tt0223223/
Езда на гренландских собаках,Документальное кино,"Эльфельт, Петер (страница отсутствует)",Кинематограф Дании,1897,https://www.imdb.com/title/tt0290709/
Взятие Турнавоса,,Жорж Мельес,Франция,1897,https://www.imdb.com/title/tt0223958/
Заколдованная гостиница,Кинокомедия,"Мельес, Жорж",Франция,1897,https://www.imdb.com/title/tt0000138/
"Замок с привидениями (фильм, 1897)",Фильм ужасов,"Мельес, Жорж",Франция,1897,https://www.imdb.com/title/tt1213033/
Спасена Ровером,Немое кино,"Хепуорт, Сесиль",Великобритания,1905,https://www.imdb.com/title/tt0000498/
Бой Корбетта и Фитцсиммонса,Документальный фильм,en:Enoch J. Rector,Соединённые Штаты Америки,1897,https://www.imdb.com/title/tt0000147/
Рейс Париж — Монте-Карло,Кинофантастика,"Мельес, Жорж",,1905,https://www.imdb.com/title/tt0189893/
"Приключения Шерлока Холмса (фильм, 1905)",Детектив (жанр),,,1905,https://www.imdb.com/title/tt0000501/
Похититель велосипедов,Кинокомедия,"Эзе, Андре (страница отсутствует)",Франция,1905,https://www.imdb.com/title/tt0435518/
Мечта о луне,Кинокомедия,"Вель, Гастон",Франция,1905,https://www.imdb.com/title/tt0234642/
"Ночь перед Рождеством (фильм, 1905)",Семейный фильм,Эдвин Стэнтон Портер,Соединённые Штаты Америки,1905,https://www.imdb.com/title/tt0000565/
Ложно обвинённый,Немое кино,"Хепуорт, Сесиль",Великобритания,1905,https://www.imdb.com/title/tt0350910/
Маленькое ограбление поезда,Комедия,Эдвин Портер,Соединённые Штаты Америки,1905,https://www.imdb.com/title/tt0000521/
Кони-Айленд ночью,Документальное кино,Эдвин Стэнтон Портер,Соединённые Штаты Америки,1905,https://www.imdb.com/title/tt0233479/
Купание малыша,Документальный фильм,Сесиль Хепуорт,Великобритания,1905,https://www.imdb.com/title/tt1924228/
Клептоманка,Драма (жанр),Эдвин Портер,Соединённые Штаты Америки,1905,https://www.imdb.com/title/tt0000519/
Железнодорожные злодеи,Драматический фильм,Эдвин Портер,Соединённые Штаты Америки,1905,https://www.imdb.com/title/tt0234913/
Вальс на потолке,Кинокомедия,"Велль, Гастон",Франция,1905,https://www.imdb.com/title/tt3219732/
Чистильщик обуви (фильм),Кинокомедия,"Портер, Эдвин",США,1903,https://www.imdb.com/title/tt0231639/
В чёрной стране,Драма (жанр),"Нонге, Люсьен",Франция,1905,https://www.imdb.com/title/tt0234249/
Что случилось в туннеле,Комедия,Эдвин Портер,Соединённые Штаты Америки,1903,https://www.imdb.com/title/tt0232932/
Extraordinary Cab Accident,Кинокомедия,Уолтер Буф,Великобритания,1903,https://www.imdb.com/title/tt0000436/
Спиритический портрет,Кинофантастика,Жорж Мельес,Франция,1903,https://www.imdb.com/title/tt0223947/
Меломан (фильм),Музыкальный фильм,"Мельес, Жорж",Франция,1903,https://www.imdb.com/title/tt0000455/
"Монстр (фильм, 1903)",Кинофантастика,Жорж Мельес,Франция,1903,https://www.imdb.com/title/tt0223755/
Злоключения Мэри Джейн,Кинокомедия,"Смит, Джордж Альберт",Великобритания,1903,https://www.imdb.com/title/tt0000451/
Казнь слона,Документальный (страница отсутствует),Томас Эдисон,Соединённые Штаты Америки,1903,https://www.imdb.com/title/tt0231523/
Жизнь и страсти Иисуса Христа,Драма (жанр),"Зекка, Фердинанд",Франция,1903,https://www.imdb.com/title/tt0127962/
Жизнь американского пожарного,Боевик (киножанр),"Портер, Эдвин",Кинематограф США,,https://www.imdb.com/title/tt0000447/
Дьявольский кэк-уок,Кинофантастика,"Мельес, Жорж",Франция,1903,https://www.imdb.com/title/tt0222874/
"Дон Кихот (фильм, 1903)",,Фернан Зекка,Франция,1903,https://www.imdb.com/title/tt0231483/
Дорога антрацита,Реклама,Эдвин Портер,Соединённые Штаты Америки,1903,https://www.imdb.com/title/tt2761418/
Рип ван Винкль (телесериал),,"Диксон, Уильям (изобретатель)",,,https://www.imdb.com/title/tt0000464/
Гостиница (фильм),Кинокомедия,Жорж Мельес,Франция,1903,https://www.imdb.com/title/tt0222763/
"Волшебный фонарь (фильм, 1903)",Фэнтези,Жорж Мельес,Франция,1903,https://www.imdb.com/title/tt0223622/
"Большое ограбление поезда (фильм, 1903)",Вестерн,"Портер, Эдвин",,1903,https://www.imdb.com/title/tt0000439/
В царстве фей,Кинофантастика,"Мельес, Жорж",Франция,1903,https://www.imdb.com/title/tt0000465/
Feeding Sea Lions,Немой кинематограф,,Соединённые Штаты Америки,1900,https://www.imdb.com/title/tt0285560/
"Алиса в Стране чудес (фильм, 1903)",Фэнтези,"Хепуорт, Сесиль",Великобритания,1903,https://www.imdb.com/title/tt0000420/
"Адский котёл (фильм, 1903)",Фильм ужасов,"Мельес, Жорж",Франция,1903,https://www.imdb.com/title/tt0135180/
Что видно в телескоп,Кинокомедия,"Смит, Джордж Альберт",Великобритания,1900,https://www.imdb.com/title/tt0000272/
Clowns Spinning Hats,Немой кинематограф,,Соединённые Штаты Америки,1900,https://www.imdb.com/title/tt0289126/
"Человек-оркестр (фильм, 1900)",Кинокомедия,Жорж Мельес,Франция,1900,https://www.imdb.com/title/tt0135453/
Современный спиритуализм,Немой кинематограф,"Мельес, Жорж",Кинематограф Франции,,https://www.imdb.com/title/tt0227536/
"Фауст и Маргарита (фильм, 1900)",Фэнтези,Эдвин Стэнтон Портер,Соединённые Штаты Америки,1900,https://www.imdb.com/title/tt0000301/
Самый невозможный способ лечь спать,Кинофантастика,"Мельес, Жорж",Кинематограф Франции,,https://www.imdb.com/title/tt0225583/
Разбор руин в Галвестоне в поисках мёртвых тел,Документальный фильм,Джеймс Стюарт Блэктон,Соединённые Штаты Америки,1900,https://www.imdb.com/title/tt0230746/
Очарованный рисунок,Мультипликационный фильм,"Блэктон, Джеймс Стюарт",Соединённые Штаты Америки,1900,https://www.imdb.com/title/tt0000300/
Озадаченный Шерлок Холмс,Детективный фильм,Артур Марвин (страница отсутствует),Соединённые Штаты Америки,1900,https://www.imdb.com/title/tt0291476/
Позволь мне снова помечтать,,Джордж Альберт Смит,Великобритания,1900,https://www.imdb.com/title/tt0000313/
Нападение на миссию в Китае,Драма (жанр),"Уильямсон, Джеймс (кинорежиссёр)",Великобритания,1900,https://www.imdb.com/title/tt0000273/
"Мадам Сан-Жен (фильм, 1900)",,Клемент Морис (страница отсутствует),Франция,1900,https://www.imdb.com/title/tt0488574/
Как мужчины грабят в Чикаго,,"Маккатчен, Уоллес",Соединённые Штаты Америки,1900,https://www.imdb.com/title/tt0231757/
Казнь китайского заключённого,Драма (жанр),,Соединённые Штаты Америки,1900,https://www.imdb.com/title/tt0212806/
Захват дивизиона буров британцами,Немой кинематограф,,,1900,https://www.imdb.com/title/tt0288468/
"Жанна д’Арк (фильм, 1900)",Драма (жанр),,Кинематограф Франции,,https://www.imdb.com/title/tt0132251/
Бабушкина лупа,Короткометражка,"Смит, Джордж Альберт",Великобритания,1900,https://www.imdb.com/title/tt0000304/
"Дом, который построил Джек (фильм, 1900)",Короткометражный фильм,"Смит, Джордж Альберт",Великобритания,1900,https://www.imdb.com/title/tt0000308/
Экспериментальный цветной фильм Тёрнера,Документальное кино,Эдвард Рэймонд Тёрнер,Флаг Великобритании,,
"Спящая красавица (фильм, 1902)",Сказка,Люсьен Нонге,Франция,1902,https://www.imdb.com/title/tt0000380/
Солдат запаса до и после войны,Драма (жанр),"Уильямсон, Джеймс (кинорежиссёр)",Великобритания,1902,https://www.imdb.com/title/tt0922581/
Труба дядушки Пита: Трагедия Глориуса Четвёртого,,,Соединённые Штаты Америки,1902,https://www.imdb.com/title/tt232872/
"Робинзон Крузо (фильм, 1902)",Приключенческий фильм,"Мельес, Жорж",Франция,1902,https://www.imdb.com/title/tt0225132/
Мышь в художественной школе,Кинокомедия,Джордж Альберт Смит,Великобритания,1902,https://www.imdb.com/title/tt1242701/
"Путешествие Гулливера (фильм, 1902)",Фильм-сказка,Жорж Мельес,Франция,1902,https://www.imdb.com/title/tt0229024/
Коронация Эдуарда VII,Исторический фильм,Жорж Мельес,Великобритания,1902,https://www.imdb.com/title/tt0379224/
"Путешествие на Луну (фильм, 1902)",Кинофантастика,"Мельес, Жорж",Франция,1902,https://www.imdb.com/title/tt0000417/
Катастрофа на Мартинике (фильм),Фильм-катастрофа,"Зекка, Фердинанд",Франция,1902,https://www.imdb.com/title/tt0451303/
Жертва алкоголя,Драма (жанр),"Зекка, Фердинанд",Франция,1902,https://www.imdb.com/title/tt0000416/
Извержение вулкана на Мартинике,Исторический фильм,Жорж Мельес,Франция,1902,https://www.imdb.com/title/tt0224450/
Душ полковника,Кинокомедия,"Мельес, Жорж",Кинематограф Франции,,https://www.imdb.com/title/tt0225554/
"Джек и бобовый стебель (фильм, 1902)",Кинофантастика,Джордж Флеминг,,1902,https://www.imdb.com/title/tt0000399/
Дедушкина лупа,Драма (жанр),Уоллес МакКутчион,Соединённые Штаты Америки,1902,https://www.imdb.com/title/tt0231675/
Фабрика собак,Кинокомедия,"Портер, Эдвин",Соединённые Штаты Америки,1904,https://www.imdb.com/title/tt0273542/
"Али-Баба и сорок разбойников (фильм, 1902)",Приключенческий фильм,Сегундо де Шомон,Франция,1902,https://www.imdb.com/title/tt0398672/
Убийца и кюре,Немой кинематограф,,Франция,1904,
Собака Бастера идёт на помощь,Кинокомедия,Джордж Альберт Смит,Соединённые Штаты Америки,1904,https://www.imdb.com/title/tt1080562/
